description,name,price,offer_price,meassure,pum,size,brand,meassure_description,market,timestamp,identifier
PULEVA leche desnatada calcio envase 1 lt,"Leche desnatada enriquecida en proteinas, calcio y vitaminas A, D y K. UHT",1.19,,lt,119.0,1.0,PULEVA,envase 1 lt,dia,1618236679.6502512,22489
DIA VITAL leche entera sin lactosa envase 1 lt,,0.75,,lt,75.0,1.0,DIAVITAL,envase 1 lt,dia,1618236686.4959822,225278
DIA DELICIOUS leche entera fresca botella 1.5 lt,,1.19,,lt,79.0,1.5,DIADELICIOUS,botella 1.5 lt,dia,1618236693.5331173,232533
DIA DELICIOUS leche semidesnatada fresca botella 1.5 lt,,1.18,,lt,79.0,1.5,DIADELICIOUS,botella 1.5 lt,dia,1618236700.5535562,232534
ECOCESTA bebida vegetal de almendras bio envase 1 lt,Bebida vegetal,2.39,,lt,239.0,1.0,ECOCESTA,envase 1 lt,dia,1618236707.6345751,243624
ECOCESTA bebida vegetal de avena bio envase 1 lt,Bebida vegetal,1.89,,lt,189.0,1.0,ECOCESTA,envase 1 lt,dia,1618236714.9220183,243626
ASTURIANA leche entera sin lactosa envase 1 lt,,0.92,,lt,92.0,1.0,ASTURIANA,envase 1 lt,dia,1618236722.1985588,240523
ASTURIANA Suprema leche desnatada botella 1 lt,Leche UHT desnatada ultrafiltrada sin lactosa con vitamina D,1.05,,lt,105.0,1.0,ASTURIANAS,botella 1 lt,dia,1618236729.2149427,250631
PASCUAL leche entera pack 6 unidades 200 ml,Leche entera UHT,1.85,,ml,154.0,200.0,PASCUAL,unidades 200 ml,dia,1618236736.4985204,250728
CELTA leche entera envase 1.5 lt,Leche Entera UHT,1.17,,lt,78.0,1.5,CELTA,envase 1.5 lt,dia,1618236743.5547252,1786
RAM chocolate a la taza envase 1 lt,Producto lácteo con chocolate. UHT,1.85,,lt,185.0,1.0,RAM,envase 1 lt,dia,1618236750.654417,26746
PASCUAL leche semidesnatada salud envase1 lt,"Leche semidesnatada UHT con vitaminas (A, D, B6, B12 y ácido folico) y minerales (zinc y selenio)",0.99,,lt,99.0,1.0,PASCUAL,salud envase1 lt,dia,1618236757.7737432,270616
YOSOY bebida de avena envase 1 lt,bebida de Avena UHT,1.45,,lt,145.0,1.0,YOSOY,envase 1 lt,dia,1618236764.855769,270828
CELTA leche semidesnatada Bio ecológica envase 1 lt,Leche Semidesnatada UHT Ecológica,1.09,,lt,109.0,1.0,CELTAB,envase 1 lt,dia,1618236771.9638388,270878
PULEVA leche entera calcio slim envase 1 lt,"Leche entera enriquecida en proteinas, calcio y vitaminas A, D y K. UHT",1.19,,lt,119.0,1.0,PULEVA,envase 1 lt,dia,1618236779.025106,27258
ASTURIANA leche con fibra envase 1 lt,Bebida láctea UHT con FIBRA,1.25,,lt,125.0,1.0,ASTURIANA,envase 1 lt,dia,1618236786.1191273,27987
PULEVA leche omega3 envase 1 lt,"Bebida láctea con Omega 3 y vitaminas A, B6, B9 (ácido fólico), C, D y E. UHT.",1.45,,lt,145.0,1.0,PULEVA,envase 1 lt,dia,1618236793.2501254,30052
CELTA leche semidesnatada envase 1.5 lt,Leche Semidesnatada UHT,1.19,,lt,79.0,1.5,CELTA,envase 1.5 lt,dia,1618236800.5288465,31961
LAUKI leche semidesnatada envase 1 lt,Leche Semidesnatada UHT con Vitamina D,0.79,,lt,79.0,1.0,LAUKI,envase 1 lt,dia,1618236807.6634362,34578
DIA leche semidesnatada calcio envase 1 lt,,0.71,,lt,71.0,1.0,DIA,envase 1 lt,dia,1618236814.783637,34609
DIA leche entera calcio envase 1 lt,,0.72,,lt,72.0,1.0,DIA,envase 1 lt,dia,1618236822.0024228,46625
DIA leche desnatada calcio envase 1 lt,,0.7,,lt,70.0,1.0,DIA,envase 1 lt,dia,1618236829.2231085,46626
DIA bebida láctea omega 3 envase 1 lt,,0.88,,lt,88.0,1.0,DIA,envase 1 lt,dia,1618236836.1664743,48888
